exp,trial,num_trials,procs,crosses,P,tiempo
8,0,1,100000000,4,63660395,0.6366039500,0.721894
8,0,2,100000000,4,63661565,0.6366156500,0.728473
8,0,3,100000000,4,63662153,0.6366215300,0.726962
8,0,4,100000000,4,63659452,0.6365945200,0.724420
8,0,5,100000000,4,63660672,0.6366067200,0.735020
8,5,1,316227766,4,201317988,0.6366233761,2.284162
8,5,2,316227766,4,201315011,0.6366139620,2.303265
8,5,3,316227766,4,201314753,0.6366131461,2.305497
8,5,4,316227766,4,201314445,0.6366121721,2.293794
8,5,5,316227766,4,201316733,0.6366194074,2.327783
9,0,1,1000000000,4,636618272,0.6366182720,7.348450
9,0,2,1000000000,4,636620137,0.6366201370,7.289283
9,0,3,1000000000,4,636620932,0.6366209320,7.308511
9,0,4,1000000000,4,636620615,0.6366206150,7.327213
9,0,5,1000000000,4,636620946,0.6366209460,7.381899
9,5,1,3162277660,4,2013170849,0.6366205202,23.122313
9,5,2,3162277660,4,2013166917,0.6366192768,23.526604
9,5,3,3162277660,4,2013165767,0.6366189132,23.334360
9,5,4,3162277660,4,2013171038,0.6366205800,23.110578
9,5,5,3162277660,4,2013167226,0.6366193745,23.281496
10,0,1,10000000000,4,6366196079,0.6366196079,73.827636
10,0,2,10000000000,4,6366197357,0.6366197357,74.007389
10,0,3,10000000000,4,6366197909,0.6366197909,74.590527
10,0,4,10000000000,4,6366196838,0.6366196838,74.514362
10,0,5,10000000000,4,6366196303,0.6366196303,74.540568
10,5,1,31622776602,4,20131682664,0.6366197035,235.436954
10,5,2,31622776602,4,20131679248,0.6366195955,233.059878
10,5,3,31622776602,4,20131676445,0.6366195068,233.099699
10,5,4,31622776602,4,20131681464,0.6366196655,235.844760
10,5,5,31622776602,4,20131681653,0.6366196715,234.501570
11,0,1,100000000000,4,63661964086,0.6366196409,741.266498
11,0,2,100000000000,4,63661963331,0.6366196333,746.444967
11,0,3,100000000000,4,63661963985,0.6366196399,734.094826
11,0,4,100000000000,4,63661965277,0.6366196528,734.968161
11,0,5,100000000000,4,63661960483,0.6366196048,737.671185
