exp,trial,num_trials,procs,crosses,P,tiempo
8,0,1,100000000,16,63657940,0.6365794000,0.253572
8,0,2,100000000,16,63661619,0.6366161900,0.270450
8,0,3,100000000,16,63666220,0.6366622000,0.260154
8,0,4,100000000,16,63665743,0.6366574300,0.261870
8,0,5,100000000,16,63662107,0.6366210700,0.262441
8,5,1,316227766,16,201319966,0.6366296311,0.777625
8,5,2,316227766,16,201327211,0.6366525418,0.800050
8,5,3,316227766,16,201315723,0.6366162135,0.786414
8,5,4,316227766,16,201315201,0.6366145628,0.783024
8,5,5,316227766,16,201316084,0.6366190434,0.786792
9,0,1,1000000000,16,636614380,0.6366143800,2.372486
9,0,2,1000000000,16,636618932,0.6366189320,2.352788
9,0,3,1000000000,16,636618886,0.6366188860,2.303645
9,0,4,1000000000,16,636614442,0.6366144420,2.349997
9,0,5,1000000000,16,636617021,0.6366170210,2.341582
9,5,1,3162277660,16,2013163858,0.6366183095,7.311966
9,5,2,3162277660,16,2013177256,0.6366225463,7.176666
9,5,3,3162277660,16,2013169911,0.6366202236,7.218324
9,5,4,3162277660,16,2013165887,0.6366189511,7.030901
9,5,5,3162277660,16,2013166724,0.6366193737,7.248153
10,0,1,10000000000,16,6366190812,0.6366190812,22.206580
10,0,2,10000000000,16,6366192933,0.6366192933,22.283731
10,0,3,10000000000,16,6366193745,0.6366193745,22.350692
10,0,4,10000000000,16,6366191185,0.6366191185,22.284956
10,0,5,10000000000,16,6366192716,0.6366192716,22.311884
10,5,1,31622776602,16,20131672789,0.6366193912,69.831053
10,5,2,31622776602,16,20131677078,0.6366195268,69.696602
10,5,3,31622776602,16,20131682796,0.6366197077,70.520086
10,5,4,31622776602,16,20131689048,0.6366199054,70.451652
10,5,5,31622776602,16,20131680432,0.6366196328,70.121594
11,0,1,100000000000,16,63661963241,0.6366196324,220.380421
11,0,2,100000000000,16,63661964566,0.6366196457,220.653647
11,0,3,100000000000,16,63661954555,0.6366195455,218.838315
11,0,4,100000000000,16,63661965669,0.6366196567,219.855009
11,0,5,100000000000,16,63661961278,0.6366196128,219.642871
