exp,trial,num_trials,in_circle,pi_est,tiempo
8,0,1,100000000,78543169,3.1417267600,1.277284
8,0,2,100000000,78540193,3.1416077200,1.289341
8,0,3,100000000,78541678,3.1416671200,1.290636
8,0,4,100000000,78540736,3.1416294400,1.290594
8,0,5,100000000,78539197,3.1415678800,1.297569
8,0,6,100000000,78541626,3.1416650400,1.294215
8,0,7,100000000,78540598,3.1416239200,1.278903
8,0,8,100000000,78541482,3.1416592800,1.294038
8,0,9,100000000,78539475,3.1415790000,1.288548
8,0,10,100000000,78539477,3.1415790800,1.279231
8,5,1,316227766,248366606,3.1416166789,4.083938
8,5,2,316227766,248364680,3.1415923167,4.093582
8,5,3,316227766,248362853,3.1415692068,4.105428
8,5,4,316227766,248364242,3.1415867764,4.104186
8,5,5,316227766,248365499,3.1416026763,4.081833
8,5,6,316227766,248366531,3.1416157302,4.094488
8,5,7,316227766,248365958,3.1416084823,4.103156
8,5,8,316227766,248365935,3.1416081914,4.104960
8,5,9,316227766,248364444,3.1415893315,4.111569
8,5,10,316227766,248366864,3.1416199424,4.095586
9,0,1,1000000000,785398433,3.1415937320,13.000664
9,0,2,1000000000,785396701,3.1415868040,12.930283
9,0,3,1000000000,785399869,3.1415994760,12.990534
9,0,4,1000000000,785398110,3.1415924400,12.996306
9,0,5,1000000000,785397349,3.1415893960,12.917344
9,0,6,1000000000,785398312,3.1415932480,12.986911
9,0,7,1000000000,785398507,3.1415940280,12.997208
9,0,8,1000000000,785398482,3.1415939280,12.810294
9,0,9,1000000000,785397082,3.1415883280,12.965317
9,0,10,1000000000,785397977,3.1415919080,12.963135
9,5,1,3162277660,2483649624,3.1415958888,41.120084
9,5,2,3162277660,2483646616,3.1415920840,40.845080
9,5,3,3162277660,2483648863,3.1415949262,41.011992
9,5,4,3162277660,2483646808,3.1415923268,40.955804
9,5,5,3162277660,2483648548,3.1415945278,40.780746
9,5,6,3162277660,2483646661,3.1415921409,40.884020
9,5,7,3162277660,2483648624,3.1415946239,40.679438
9,5,8,3162277660,2483647289,3.1415929353,40.717236
9,5,9,3162277660,2483649032,3.1415951400,40.706087
9,5,10,3162277660,2483646388,3.1415917956,40.879733
10,0,1,10000000000,7853986499,3.1415945996,127.788401
10,0,2,10000000000,7853986082,3.1415944328,129.476587
10,0,3,10000000000,7853979765,3.1415919060,130.074922
10,0,4,10000000000,7853979624,3.1415918496,129.292017
10,0,5,10000000000,7853987263,3.1415949052,128.610047
10,0,6,10000000000,7853986142,3.1415944568,128.500706
10,0,7,10000000000,7853986114,3.1415944456,128.521797
10,0,8,10000000000,7853986012,3.1415944048,128.594504
10,0,9,10000000000,7853986187,3.1415944748,128.948712
10,0,10,10000000000,7853986279,3.1415945116,129.035319
10,5,1,31622776602,24836465727,3.1415920290,410.608587
10,5,2,31622776602,24836484854,3.1415944484,408.400019
10,5,3,31622776602,24836486757,3.1415946891,410.045226
10,5,4,31622776602,24836465466,3.1415919960,408.283461
10,5,5,31622776602,24836464059,3.1415918180,406.754797
10,5,6,31622776602,24836461128,3.1415914473,409.459641
10,5,7,31622776602,24836486523,3.1415946595,408.752221
10,5,8,31622776602,24836486416,3.1415946460,406.673972
10,5,9,31622776602,24836463362,3.1415917299,408.814985
10,5,10,31622776602,24836487003,3.1415947202,409.414389
11,0,1,100000000000,78539797350,3.1415918940,1285.510169
11,0,2,100000000000,78539794412,3.1415917765,1281.105871
11,0,3,100000000000,78539796766,3.1415918706,1295.559893
11,0,4,100000000000,78539863438,3.1415945375,1293.609366
11,0,5,100000000000,78539793990,3.1415917596,1286.343915
11,0,6,100000000000,78539797409,3.1415918964,1285.457149
11,0,7,100000000000,78539794072,3.1415917629,1298.454709
11,0,8,100000000000,78539863217,3.1415945287,1302.258782
11,0,9,100000000000,78539863226,3.1415945290,1287.607799
11,0,10,100000000000,78539796455,3.1415918582,1285.730772
