exp,trial,num_trials,crosses,P,tiempo
8,0,1,100000000,63660747,0.6366074700,1.788432
8,0,2,100000000,63661226,0.6366122600,1.821161
8,0,3,100000000,63660996,0.6366099600,1.826379
8,0,4,100000000,63664202,0.6366420200,1.791020
8,0,5,100000000,63663358,0.6366335800,1.797718
8,0,6,100000000,63659138,0.6365913800,1.816902
8,0,7,100000000,63661416,0.6366141600,1.808385
8,0,8,100000000,63661555,0.6366155500,1.788871
8,0,9,100000000,63661885,0.6366188500,1.801493
8,0,10,100000000,63664380,0.6366438000,1.822394
8,5,1,316227766,201316039,0.6366172128,5.718871
8,5,2,316227766,201316359,0.6366182247,5.727275
8,5,3,316227766,201317531,0.6366219309,5.642380
8,5,4,316227766,201316567,0.6366188825,5.568103
8,5,5,316227766,201315795,0.6366164412,5.592036
8,5,6,316227766,201317334,0.6366213079,5.638567
8,5,7,316227766,201315785,0.6366164096,5.629600
8,5,8,316227766,201316962,0.6366201316,5.569714
8,5,9,316227766,201316873,0.6366198501,5.647693
8,5,10,316227766,201317180,0.6366208210,5.587624
9,0,1,1000000000,636619738,0.6366197380,17.830734
9,0,2,1000000000,636617217,0.6366172170,17.662480
9,0,3,1000000000,636618945,0.6366189450,17.546086
9,0,4,1000000000,636620717,0.6366207170,17.691881
9,0,5,1000000000,636621171,0.6366211710,17.744105
9,0,6,1000000000,636619351,0.6366193510,17.688405
9,0,7,1000000000,636619769,0.6366197690,17.737647
9,0,8,1000000000,636618349,0.6366183490,17.741333
9,0,9,1000000000,636617931,0.6366179310,17.754549
9,0,10,1000000000,636620040,0.6366200400,17.682130
9,5,1,3162277660,2013166184,0.6366190450,56.021372
9,5,2,3162277660,2013170142,0.6366202967,56.046841
9,5,3,3162277660,2013168517,0.6366197828,56.179362
9,5,4,3162277660,2013167199,0.6366193660,56.165858
9,5,5,3162277660,2013169821,0.6366201951,56.046289
9,5,6,3162277660,2013168812,0.6366198761,55.941527
9,5,7,3162277660,2013169736,0.6366201683,56.013708
9,5,8,3162277660,2013166274,0.6366190735,55.880902
9,5,9,3162277660,2013170303,0.6366203476,55.926745
9,5,10,3162277660,2013167223,0.6366193736,56.140067
10,0,1,10000000000,6366192833,0.6366192833,177.478639
10,0,2,10000000000,6366192588,0.6366192588,176.776046
10,0,3,10000000000,6366192610,0.6366192610,176.838589
10,0,4,10000000000,6366192664,0.6366192664,177.058933
10,0,5,10000000000,6366200251,0.6366200251,177.007867
10,0,6,10000000000,6366199677,0.6366199677,176.993814
10,0,7,10000000000,6366192595,0.6366192595,174.971347
10,0,8,10000000000,6366200056,0.6366200056,175.039516
10,0,9,10000000000,6366200033,0.6366200033,175.059586
10,0,10,10000000000,6366193120,0.6366193120,176.241401
10,5,1,31622776602,20131671499,0.6366193504,559.785222
10,5,2,31622776602,20131690951,0.6366199656,558.924335
10,5,3,31622776602,20131690570,0.6366199535,562.606347
10,5,4,31622776602,20131691924,0.6366199963,560.282633
10,5,5,31622776602,20131670400,0.6366193157,561.591764
10,5,6,31622776602,20131669126,0.6366192754,560.027704
10,5,7,31622776602,20131667626,0.6366192279,560.295712
10,5,8,31622776602,20131667425,0.6366192216,560.234678
10,5,9,31622776602,20131667713,0.6366192307,560.028695
10,5,10,31622776602,20131691067,0.6366199692,560.229690
11,0,1,100000000000,63661926337,0.6366192634,1771.029871
11,0,2,100000000000,63661929818,0.6366192982,1753.147968
11,0,3,100000000000,63661926309,0.6366192631,1772.959944
11,0,4,100000000000,63661928714,0.6366192871,1774.360106
11,0,5,100000000000,63661998135,0.6366199813,1765.934250
11,0,6,100000000000,63661928039,0.6366192804,1780.949000
11,0,7,100000000000,63661927582,0.6366192758,1768.342187
11,0,8,100000000000,63661929014,0.6366192901,1776.583402
11,0,9,100000000000,63661926571,0.6366192657,1762.947811
11,0,10,100000000000,63661929987,0.6366192999,1771.425639
