exp,trial,num_trials,threads,crosses,P,tiempo
8,0,1,100000000,8,63662716,0.6366271600,0.431154
8,0,2,100000000,8,63662716,0.6366271600,0.434850
8,0,3,100000000,8,63656043,0.6365604300,0.432874
8,0,4,100000000,8,63656043,0.6365604300,0.434569
8,0,5,100000000,8,63661168,0.6366116800,0.439076
8,5,1,316227766,8,201314945,0.6366137533,1.380121
8,5,2,316227766,8,201310685,0.6366002820,1.376335
8,5,3,316227766,8,201321394,0.6366341468,1.373862
8,5,4,316227766,8,201305007,0.6365823266,1.383129
8,5,5,316227766,8,201317657,0.6366223294,1.371774
9,0,1,1000000000,8,636619429,0.6366194290,4.340790
9,0,2,1000000000,8,636619044,0.6366190440,4.418929
9,0,3,1000000000,8,636621499,0.6366214990,4.359834
9,0,4,1000000000,8,636619452,0.6366194520,4.372226
9,0,5,1000000000,8,636621699,0.6366216990,4.442916
9,5,1,3162277660,8,2013166214,0.6366190545,13.830239
9,5,2,3162277660,8,2013169720,0.6366201632,14.114412
9,5,3,3162277660,8,2013164482,0.6366185068,14.091420
9,5,4,3162277660,8,2013170422,0.6366203852,13.749971
9,5,5,3162277660,8,2013171048,0.6366205832,14.075268
10,0,1,10000000000,8,6366192311,0.6366192311,43.834713
10,0,2,10000000000,8,6366197709,0.6366197709,43.775652
10,0,3,10000000000,8,6366198679,0.6366198679,44.747345
10,0,4,10000000000,8,6366199676,0.6366199676,43.604469
10,0,5,10000000000,8,6366194214,0.6366194214,44.397937
10,5,1,31622776602,8,20131686360,0.6366198204,140.399686
10,5,2,31622776602,8,20131679938,0.6366196173,138.117183
10,5,3,31622776602,8,20131678908,0.6366195847,138.373917
10,5,4,31622776602,8,20131680039,0.6366196205,139.112645
10,5,5,31622776602,8,20131678997,0.6366195875,138.264808
11,0,1,100000000000,8,63661970899,0.6366197090,434.162451
11,0,2,100000000000,8,63661969025,0.6366196902,448.319684
11,0,3,100000000000,8,63661970315,0.6366197032,445.717694
11,0,4,100000000000,8,63661966006,0.6366196601,445.857401
11,0,5,100000000000,8,63661962645,0.6366196265,445.866067
