exp,trial,num_trials,threads,crosses,P,tiempo
8,0,1,100000000,4,63664961,0.6366496100,0.464959
8,0,2,100000000,4,63664961,0.6366496100,0.469359
8,0,3,100000000,4,63662447,0.6366244700,0.467938
8,0,4,100000000,4,63662447,0.6366244700,0.473455
8,0,5,100000000,4,63661230,0.6366123000,0.471038
8,0,6,100000000,4,63661230,0.6366123000,0.468049
8,0,7,100000000,4,63663905,0.6366390500,0.482539
8,0,8,100000000,4,63663905,0.6366390500,0.477633
8,0,9,100000000,4,63664876,0.6366487600,0.482065
8,0,10,100000000,4,63664876,0.6366487600,0.490181
8,5,1,316227766,4,201318161,0.6366239232,1.531795
8,5,2,316227766,4,201318946,0.6366264055,1.499519
8,5,3,316227766,4,201319418,0.6366278981,1.511411
8,5,4,316227766,4,201320843,0.6366324044,1.499669
8,5,5,316227766,4,201314716,0.6366130291,1.512699
8,5,6,316227766,4,201314841,0.6366134244,1.534254
8,5,7,316227766,4,201316433,0.6366184587,1.505425
8,5,8,316227766,4,201320122,0.6366301244,1.494188
8,5,9,316227766,4,201312217,0.6366051266,1.498443
8,5,10,316227766,4,201311397,0.6366025335,1.526221
9,0,1,1000000000,4,636619451,0.6366194510,4.801619
9,0,2,1000000000,4,636622148,0.6366221480,4.756968
9,0,3,1000000000,4,636622609,0.6366226090,4.792108
9,0,4,1000000000,4,636621513,0.6366215130,4.900280
9,0,5,1000000000,4,636622212,0.6366222120,4.784540
9,0,6,1000000000,4,636620511,0.6366205110,4.762720
9,0,7,1000000000,4,636619084,0.6366190840,4.805321
9,0,8,1000000000,4,636617217,0.6366172170,4.787474
9,0,9,1000000000,4,636621302,0.6366213020,4.762560
9,0,10,1000000000,4,636619463,0.6366194630,4.752284
9,5,1,3162277660,4,2013167102,0.6366193353,15.538995
9,5,2,3162277660,4,2013166197,0.6366190491,15.216857
9,5,3,3162277660,4,2013169403,0.6366200630,15.039468
9,5,4,3162277660,4,2013169194,0.6366199969,15.082757
9,5,5,3162277660,4,2013170621,0.6366204481,15.111974
9,5,6,3162277660,4,2013169534,0.6366201044,15.052974
9,5,7,3162277660,4,2013170031,0.6366202615,15.242187
9,5,8,3162277660,4,2013169221,0.6366200054,15.080830
9,5,9,3162277660,4,2013164754,0.6366185928,15.008510
9,5,10,3162277660,4,2013169893,0.6366202179,15.032357
10,0,1,10000000000,4,6366194848,0.6366194848,48.565070
10,0,2,10000000000,4,6366194512,0.6366194512,47.738420
10,0,3,10000000000,4,6366197277,0.6366197277,47.700595
10,0,4,10000000000,4,6366198648,0.6366198648,47.507612
10,0,5,10000000000,4,6366198620,0.6366198620,49.213855
10,0,6,10000000000,4,6366195574,0.6366195574,48.359098
10,0,7,10000000000,4,6366195248,0.6366195248,48.418326
10,0,8,10000000000,4,6366195306,0.6366195306,48.938113
10,0,9,10000000000,4,6366195318,0.6366195318,47.714725
10,0,10,10000000000,4,6366196394,0.6366196394,48.278439
10,5,1,31622776602,4,20131681666,0.6366196719,155.328640
10,5,2,31622776602,4,20131680017,0.6366196198,151.067991
10,5,3,31622776602,4,20131685691,0.6366197992,150.693340
10,5,4,31622776602,4,20131682331,0.6366196930,152.774250
10,5,5,31622776602,4,20131681754,0.6366196747,151.724867
10,5,6,31622776602,4,20131682894,0.6366197108,150.129125
10,5,7,31622776602,4,20131681061,0.6366196528,152.172539
10,5,8,31622776602,4,20131684944,0.6366197756,150.507256
10,5,9,31622776602,4,20131682128,0.6366196865,153.024431
10,5,10,31622776602,4,20131676766,0.6366195170,152.159033
11,0,1,100000000000,4,63661962220,0.6366196222,484.743273
11,0,2,100000000000,4,63661962657,0.6366196266,478.919441
11,0,3,100000000000,4,63661965941,0.6366196594,479.309687
11,0,4,100000000000,4,63661965559,0.6366196556,479.579952
11,0,5,100000000000,4,63661961135,0.6366196114,480.380189
11,0,6,100000000000,4,63661965831,0.6366196583,479.620757
11,0,7,100000000000,4,63661961396,0.6366196140,481.903726
11,0,8,100000000000,4,63661967701,0.6366196770,480.637138
11,0,9,100000000000,4,63661965263,0.6366196526,480.860915
11,0,10,100000000000,4,63661964988,0.6366196499,477.802611
