Modo,Tamaño_N,Num_Procesos,Tiempo_Promedio,Tiempo_Min,Tiempo_Max,Desviacion_Std
ASINCRONO,10000,2,1.021927,0.886513,1.286217,0.137640
ASINCRONO,10000,4,1.171218,0.865760,1.347022,0.170708
ASINCRONO,10000,6,1.309024,1.144653,1.470319,0.105343
ASINCRONO,10000,8,10.572023,9.594966,11.502141,0.733262
ASINCRONO,10000,10,15.483461,13.104997,20.116019,2.516536
ASINCRONO,100000,2,1.591907,1.519171,1.706000,0.063960
ASINCRONO,100000,4,1.234857,1.125093,1.347177,0.089841
ASINCRONO,100000,6,1.658199,1.576694,1.746577,0.067585
ASINCRONO,100000,8,10.420298,9.099455,11.480898,0.790473
ASINCRONO,100000,10,17.932970,14.463028,20.084446,2.586895
ASINCRONO,1000000,2,5.214891,4.952963,5.551020,0.214898
ASINCRONO,1000000,4,4.327094,3.870538,5.049209,0.427347
ASINCRONO,1000000,6,5.364681,4.778143,5.946590,0.403983
ASINCRONO,1000000,8,13.897067,13.258586,14.678934,0.470701
ASINCRONO,1000000,10,13.695850,12.591130,15.657009,1.117904
ASINCRONO,10000000,2,52.039138,51.772667,52.606404,0.292990
ASINCRONO,10000000,4,45.466606,44.803246,45.984293,0.515207
ASINCRONO,10000000,6,66.146674,65.321905,66.808650,0.506802
ASINCRONO,10000000,8,81.339702,78.739959,83.007000,1.436277
ASINCRONO,10000000,10,70.748310,70.014918,71.740813,0.575473
SINCRONO,10000,2,1.882440,1.722032,2.280872,0.201983
SINCRONO,10000,4,1.916640,1.637869,2.249907,0.210731
SINCRONO,10000,6,2.140945,2.043230,2.289269,0.107448
SINCRONO,10000,8,15.917259,15.160218,16.582090,0.518766
SINCRONO,10000,10,22.219386,21.300105,24.523654,1.225294
SINCRONO,100000,2,2.642061,2.238811,3.532901,0.480793
SINCRONO,100000,4,2.369263,2.141683,2.577975,0.156488
SINCRONO,100000,6,2.456439,2.375313,2.703356,0.123879
SINCRONO,100000,8,16.039135,14.865557,17.005055,0.770643
SINCRONO,100000,10,21.515306,19.795758,23.003100,1.199650
SINCRONO,1000000,2,10.549012,9.772207,12.233656,0.869024
SINCRONO,1000000,4,7.766103,7.185226,8.719045,0.517258
SINCRONO,1000000,6,6.974765,6.595814,7.522704,0.347069
SINCRONO,1000000,8,19.310746,18.711864,19.822730,0.354188
SINCRONO,1000000,10,23.134050,21.940049,25.116475,1.283069
SINCRONO,10000000,2,102.467899,101.909428,102.963126,0.365174
SINCRONO,10000000,4,75.319098,74.592525,75.982183,0.450036
SINCRONO,10000000,6,70.961570,69.976415,71.454980,0.526230
SINCRONO,10000000,8,95.311768,93.943399,96.582931,0.882956
SINCRONO,10000000,10,90.675453,89.615485,92.641982,1.111576
