Modo,Tamaño_N,Num_Procesos,Ejecucion,Tiempo_Segundos
ASINCRONO,1000,2,1,1.123110
ASINCRONO,1000,2,2,1.220642
ASINCRONO,1000,2,3,1.557565
ASINCRONO,1000,2,4,1.018419
ASINCRONO,1000,2,5,1.217136
ASINCRONO,1000,4,1,1.081383
ASINCRONO,1000,4,2,0.978785
ASINCRONO,1000,4,3,0.940641
ASINCRONO,1000,4,4,1.315136
ASINCRONO,1000,4,5,1.046334
ASINCRONO,1000,6,1,1.703073
ASINCRONO,1000,6,2,1.297282
ASINCRONO,1000,6,3,1.890583
ASINCRONO,1000,6,4,1.668014
ASINCRONO,1000,6,5,1.478778
ASINCRONO,1000,8,1,9.988454
ASINCRONO,1000,8,2,9.818021
ASINCRONO,1000,8,3,10.014988
ASINCRONO,1000,8,4,10.217060
ASINCRONO,1000,8,5,9.863357
ASINCRONO,1000,10,1,10.627883
ASINCRONO,1000,10,2,19.858517
ASINCRONO,1000,10,3,20.007912
ASINCRONO,1000,10,4,10.626339
ASINCRONO,1000,10,5,11.096364
ASINCRONO,2000,2,1,1.122727
ASINCRONO,2000,2,2,0.894169
ASINCRONO,2000,2,3,1.090753
ASINCRONO,2000,2,4,1.431350
ASINCRONO,2000,2,5,0.983235
ASINCRONO,2000,4,1,1.220348
ASINCRONO,2000,4,2,0.879802
ASINCRONO,2000,4,3,1.192389
ASINCRONO,2000,4,4,1.019681
ASINCRONO,2000,4,5,0.938214
ASINCRONO,2000,6,1,1.708389
ASINCRONO,2000,6,2,1.411189
ASINCRONO,2000,6,3,1.446291
ASINCRONO,2000,6,4,1.346082
ASINCRONO,2000,6,5,1.659215
ASINCRONO,2000,8,1,10.376877
ASINCRONO,2000,8,2,10.267783
ASINCRONO,2000,8,3,10.077937
ASINCRONO,2000,8,4,10.130028
ASINCRONO,2000,8,5,10.353044
ASINCRONO,2000,10,1,20.081096
ASINCRONO,2000,10,2,10.598925
ASINCRONO,2000,10,3,12.910892
ASINCRONO,2000,10,4,11.206773
ASINCRONO,2000,10,5,12.476944
ASINCRONO,4000,2,1,0.917361
ASINCRONO,4000,2,2,1.081021
ASINCRONO,4000,2,3,1.085890
ASINCRONO,4000,2,4,1.248535
ASINCRONO,4000,2,5,1.044793
ASINCRONO,4000,4,1,1.171157
ASINCRONO,4000,4,2,0.863543
ASINCRONO,4000,4,3,1.004399
ASINCRONO,4000,4,4,1.039652
ASINCRONO,4000,4,5,0.716276
ASINCRONO,4000,6,1,1.301455
ASINCRONO,4000,6,2,1.344610
ASINCRONO,4000,6,3,1.657292
ASINCRONO,4000,6,4,1.383522
ASINCRONO,4000,6,5,1.814695
ASINCRONO,4000,8,1,10.826809
ASINCRONO,4000,8,2,9.542080
ASINCRONO,4000,8,3,10.147836
ASINCRONO,4000,8,4,11.195995
ASINCRONO,4000,8,5,10.172701
ASINCRONO,4000,10,1,16.129609
ASINCRONO,4000,10,2,10.809044
ASINCRONO,4000,10,3,12.413380
ASINCRONO,4000,10,4,14.046879
ASINCRONO,4000,10,5,14.255127
ASINCRONO,8000,2,1,1.147949
ASINCRONO,8000,2,2,1.332958
ASINCRONO,8000,2,3,1.109806
ASINCRONO,8000,2,4,1.111524
ASINCRONO,8000,2,5,1.484021
ASINCRONO,8000,4,1,1.156339
ASINCRONO,8000,4,2,1.095592
